segmentID,x,y,z
0,354,239,31
0,357,239,31
0,361,237,31
0,365,236,31
0,370,236,31
0,374,236,31
0,377,236,31
0,381,236,31
0,385,236,31
0,389,236,31
0,393,234,31
0,396,232,31
0,400,232,31
0,404,232,31
0,407,230,31
0,411,230,31
0,414,227,31
0,418,226,31
0,422,225,31
0,425,225,31
0,429,225,31
0,434,223,31
0,438,219,31
0,442,218,31
0,445,218,31
0,449,218,31
0,453,216,31
0,457,216,31
0,461,212,31
0,464,212,31
0,468,212,31
0,471,212,31
0,475,212,31
0,479,212,31
0,484,212,31
0,488,212,31
0,492,209,31
0,496,209,31
0,499,209,31
0,503,209,31
0,507,209,31
0,511,209,31
0,514,207,31
0,518,205,31
0,522,205,31
0,525,205,31
0,529,205,31
0,534,205,31
0,537,205,31
0,542,205,31
0,545,205,31
0,550,204,31
0,553,204,31
0,556,204,31
0,561,204,31
0,565,203,30
0,568,203,30
0,573,203,30
0,576,203,30
0,579,203,30
0,584,203,30
0,587,202,30
0,592,201,30
0,595,201,30
0,600,201,30
0,604,201,30
0,607,201,30
0,611,201,30
0,615,201,30
0,618,201,30
0,623,201,30
0,626,201,30
0,631,202,30
0,634,202,30
0,639,202,30
0,643,202,30
0,645,202,30
0,650,202,30
0,654,202,30
0,657,203,30
0,662,203,30
0,665,203,30
0,668,203,30
0,673,203,30
0,676,203,30
0,681,204,30
0,684,205,30
0,689,205,30
0,693,205,30
0,695,207,30
0,700,207,30
0,704,209,30
0,707,212,28
0,712,214,28
0,715,214,28
0,718,214,28
0,723,214,28
0,726,214,28
0,731,214,29
0,734,214,29
0,739,214,29
0,742,214,29
0,745,214,29
0,750,214,29
0,754,214,29
0,757,214,29
0,762,214,29
0,765,214,29
0,768,214,29
0,773,214,29
0,776,214,29
0,781,214,29
0,784,214,29
0,789,214,29
0,792,214,29
0,795,214,29
0,800,214,29
0,804,214,29
0,807,214,29
0,812,214,29
0,815,214,29
0,818,214,29
0,823,216,29
0,826,219,29
0,831,220,29
0,834,221,29
0,837,221,29
0,842,221,29
0,845,221,29
0,850,223,28
0,854,225,28
0,857,226,28
0,862,227,28
0,865,227,28
0,868,230,28
0,873,230,28
0,876,232,28
0,881,235,28
0,884,236,28
0,889,237,28
0,892,239,28
0,895,239,28
0,900,242,27
0,904,244,28
0,907,246,28
0,912,248,28
0,915,248,28
0,918,248,28
0,923,248,28
0,926,248,28
0,931,250,28
0,934,251,29
0,939,251,29
0,943,253,28
0,945,252,28
0,950,252,28
0,954,250,28
0,957,250,29
0,962,250,29
0,965,250,29
0,968,250,28
0,973,250,28
0,976,250,28
0,981,250,28
0,984,250,28
0,987,248,28
0,992,248,28
0,995,246,28
0,1000,246,28
0,1003,245,28
0,1006,245,28
0,1011,245,28
0,1015,244,28
0,1018,244,28
